iteration,latency_ms
0,0.538686
1,0.291665
2,0.275047
3,0.273546
4,0.270238
5,0.284868
6,0.278407
7,0.290625
8,0.298142
9,0.300072
10,0.304816
11,0.295544
12,0.300605
13,0.312249
14,0.354222
15,0.316836
16,0.314099
17,0.316379
18,0.324669
19,0.330774
20,0.329613
21,0.344008
22,0.348541
23,0.354783
24,0.41537
25,0.397928
26,0.392469
27,0.398412
28,0.389501
29,0.415474
30,0.433685
31,0.394218
32,0.395705
33,0.3741
34,0.363112
35,0.38303
36,0.36266
37,0.371073
38,0.369533
39,0.354419
40,0.344144
41,0.340476
42,0.347509
43,0.348859
44,0.340938
45,0.346569
46,0.358483
47,0.414568
48,0.373666
49,0.34454
50,0.351988
51,0.350332
52,0.341972
53,0.365074
54,0.370329
55,0.410946
56,0.411984
57,0.424632
58,0.391628
59,0.402429
60,0.403297
61,0.430704
62,0.432658
63,0.461776
64,0.47881
65,0.552781
66,0.485907
67,0.475304
68,0.43935
69,0.417758
70,0.415361
71,0.415897
72,0.430503
73,0.406477
74,0.395749
75,0.389173
76,0.369651
77,0.367749
78,0.365035
79,0.36691
80,0.362201
81,0.364868
82,0.366969
83,0.355254
84,0.346221
85,0.358909
86,0.342643
87,0.342308
88,0.383471
89,0.354412
90,0.348383
91,0.338576
92,0.355769
93,0.367893
94,0.366511
95,0.389969
96,0.451333
97,0.472399
98,0.435304
99,0.452088
100,0.458249
101,0.467795
102,0.4945
103,0.562688
104,0.554552
105,0.536884
106,0.54053
107,0.500044
108,0.510375
109,0.466714
110,0.468372
111,0.42692
112,0.435927
113,0.397856
114,0.398695
115,0.38809
116,0.371833
117,0.370013
118,0.366393
119,0.371567
120,0.363242
121,0.363511
122,0.374046
123,0.419242
124,0.449396
125,0.446378
126,0.443489
127,0.445586
128,0.465726
129,0.463276
130,0.513292
131,0.426037
132,0.452972
133,0.438963
134,0.43486
135,0.457591
136,0.473791
137,0.493272
138,0.51116
139,0.457377
140,0.4709
141,0.536669
142,0.539803
143,0.555335
144,0.574797
145,0.59203
146,0.650254
147,0.604606
148,0.581792
149,0.526499
150,0.549179
151,0.483309
152,0.490779
153,0.448723
154,0.448864
155,0.435377
156,0.422753
157,0.422983
158,0.418973
159,0.418128
160,0.388897
161,0.400561
162,0.386715
163,0.386483
164,0.383269
165,0.416673
166,0.424644
167,0.423317
168,0.435917
169,0.41589
170,0.420273
171,0.426003
172,0.457541
173,0.451425
174,0.48703
175,0.494894
176,0.535493
177,0.507694
178,0.488833
179,0.474443
180,0.458486
181,0.463856
182,0.44389
183,0.460903
184,0.423816
185,0.422259
186,0.41675
187,0.424769
188,0.415599
189,0.391974
190,0.397737
191,0.391308
192,0.396472
193,0.390941
194,0.388654
195,0.396667
196,0.390326
197,0.396008
198,0.388958
199,0.399465
200,0.381405
201,0.480753
202,0.471444
203,0.422143
204,0.4418
205,0.426141
206,0.430585
207,0.419936
208,0.388551
209,0.397641
210,0.418501
211,0.425406
212,0.435455
213,0.473266
214,0.478839
215,0.504674
216,0.48971
217,0.451842
218,0.43595
219,0.418832
220,0.439654
221,0.425727
222,0.433214
223,0.403922
224,0.392547
225,0.39825
226,0.38509
227,0.39424
228,0.380995
229,0.376702
230,0.369209
231,0.374332
232,0.381256
233,0.364957
234,0.36901
235,0.386421
236,0.361174
237,0.379641
238,0.367863
239,0.339295
240,0.356546
241,0.346532
242,0.362036
243,0.374844
244,0.380653
245,0.395375
246,0.391305
247,0.404124
248,0.419841
249,0.443166
250,0.467448
251,0.473739
