iteration,latency_ms
0,1.370563
1,0.951628
2,3.181837
3,1.394194
4,1.225589
5,6.872841
6,1.22163
7,3.752395
8,7.910383
9,3.799855
10,1.460408
11,1.570551
12,1.876175
13,1.896995
14,1.977724
15,1.349936
16,1.143283
17,1.2284
18,0.992808
19,0.85498
20,0.85785
21,1.159403
22,1.205432
23,1.425119
24,1.290026
25,1.728953
26,1.906981
27,1.841388
28,1.793602
29,1.310865
30,1.261759
31,1.19325
32,1.244093
33,1.326834
34,1.628197
35,1.696905
36,1.365839
37,1.619338
38,1.92733
39,1.432038
40,1.945093
41,1.302058
42,1.267243
43,1.285502
44,1.281359
45,1.281974
46,1.616103
47,1.808951
48,1.314019
49,1.450381
50,1.323022
51,1.304177
52,1.259107
53,1.22521
54,1.24146
55,1.214947
56,1.281189
57,1.224877
58,1.201553
59,1.227326
60,1.236366
61,1.221211
62,1.229683
63,1.216486
64,1.252472
65,1.223436
66,1.236896
67,1.500124
68,1.378465
69,1.61679
70,1.226173
71,1.382651
72,1.278328
73,1.263998
74,1.436492
75,1.275629
76,1.253539
77,4.310902
78,1.156985
79,1.191442
80,1.223807
81,1.236982
82,1.205893
83,1.21519
84,1.265621
85,1.2273
86,1.252117
87,1.255652
88,2.220844
89,1.298696
90,1.295327
91,1.250568
92,1.224513
93,1.381082
94,1.288399
95,1.553785
96,1.674296
97,1.390908
98,1.280575
99,1.25146
100,1.220653
101,1.230828
102,1.222206
103,1.244804
104,1.590527
105,1.84517
106,1.779869
107,1.812753
108,2.032763
109,1.390301
110,1.259396
111,1.291307
112,1.36687
113,1.219389
114,1.430359
115,1.205597
116,1.11401
117,1.077467
118,1.04124
119,1.201455
120,1.280802
121,1.240305
122,1.188817
123,1.213436
124,1.23856
125,1.055198
126,0.854443
127,0.832034
128,0.838711
129,0.827994
130,2.201007
131,1.410154
132,1.266311
133,1.329292
134,1.848899
135,1.904306
136,1.384605
137,1.248576
138,1.212196
139,1.264974
140,1.250438
141,1.438335
142,1.23834
143,1.345681
144,1.84965
145,1.844735
146,2.41542
147,2.012659
148,1.861374
149,1.277388
150,2.019305
151,2.199429
152,1.9612
153,1.961832
154,1.849946
155,2.023053
156,1.864357
157,1.975218
158,1.86621
159,1.818651
160,1.320374
161,1.221278
162,0.946308
163,0.862126
164,0.888258
165,1.456557
166,1.840073
167,1.845759
168,1.494057
169,1.733893
170,1.887322
171,1.783338
172,1.438797
173,1.194524
174,0.954953
175,1.064224
176,1.331044
177,1.818047
178,1.213029
179,1.231402
180,1.213125
181,1.22454
182,1.315029
183,1.75651
184,1.786002
185,1.273876
186,1.520951
187,1.652335
188,0.920773
189,0.871077
190,1.150476
191,1.214787
192,1.240386
193,1.234979
194,1.419922
195,1.322296
196,0.961634
197,0.869689
198,0.818154
199,0.806775
200,0.800705
201,0.930805
202,0.902094
203,0.971507
204,0.874379
205,0.867122
206,0.92822
207,0.987319
208,0.999158
209,0.864906
210,0.83419
211,1.04863
212,1.136649
213,1.151412
214,1.222358
215,1.279494
216,1.331577
217,1.217509
218,0.977931
219,1.122384
220,1.150531
221,0.925071
222,0.896712
223,0.886636
224,0.839105
225,0.882012
226,0.834437
227,0.804261
228,0.847016
229,0.884783
230,0.901458
231,1.036019
232,1.221713
233,1.393357
234,1.432246
235,1.789218
236,1.642804
237,1.207976
238,1.382387
239,1.799169
240,1.664945
241,1.309843
242,1.873134
243,2.286117
244,1.650944
245,1.52558
246,1.256623
247,1.19049
248,1.397962
249,1.227821
250,1.242443
251,1.214732
252,1.373403
253,1.283065
254,1.773811
255,2.002395
256,1.846972
257,1.783049
258,1.591978
259,1.778961
260,1.635003
261,1.24375
262,1.236748
263,1.458651
264,1.2828
265,1.243755
266,1.474851
267,1.991909
268,1.694401
269,1.426746
270,1.220976
271,1.505984
272,1.318035
273,1.331203
274,1.279344
275,1.227307
276,1.203783
277,0.969287
278,1.18538
279,1.220049
280,1.300105
281,2.014367
282,1.892134
283,1.674451
284,2.019038
285,1.850681
286,1.246297
287,1.202401
288,1.38055
289,1.273211
290,1.339819
291,1.81824
292,1.718538
293,1.268511
294,1.274441
295,1.271998
296,1.339076
297,1.337216
298,1.735733
299,1.836373
300,1.806026
301,1.680977
302,2.009008
303,1.189814
304,1.331951
305,1.276329
306,1.423527
307,1.247287
308,1.249569
309,1.242169
310,1.304695
311,1.731825
312,1.832656
313,1.860579
314,1.848034
315,1.845583
316,1.798483
317,1.25564
318,1.210047
319,1.26591
320,1.301036
321,1.302935
322,1.25004
323,1.238745
324,1.390286
325,1.358543
326,1.25619
327,1.369552
328,1.757815
329,1.81956
330,1.560059
331,1.236998
332,1.213136
333,1.327267
334,1.299016
335,1.208289
336,1.259308
337,1.187638
338,1.215144
339,1.201796
340,1.060755
341,1.152443
342,1.141566
343,1.072112
344,1.062217
345,1.037677
346,1.034813
347,1.058648
348,1.061262
349,1.054947
350,1.04549
351,1.077956
352,1.043613
353,1.062821
354,1.127759
355,1.095647
356,1.142484
357,1.099934
358,1.178441
359,1.112604
360,1.223546
361,1.174873
362,1.265919
363,1.331943
364,1.250415
365,1.223198
366,0.982715
367,0.91911
368,0.859229
369,0.835166
370,0.847431
371,0.82668
372,0.845133
373,0.80559
374,1.089348
375,1.206806
376,1.246376
377,1.456572
378,1.89205
379,1.85442
380,1.966466
381,1.935821
382,1.915086
383,1.312143
384,1.273857
385,1.233828
386,1.300009
387,1.310574
388,1.222861
389,1.383888
390,1.409095
391,1.275835
392,2.376299
393,1.3513
394,1.345348
395,1.890279
396,1.886878
397,1.800071
398,1.330727
399,1.77802
400,1.919665
401,1.920738
402,1.899035
403,1.994535
404,1.881233
405,1.911598
406,2.05908
407,1.93869
408,1.334607
409,1.355021
410,1.79944
411,1.895155
412,1.833665
413,1.835561
414,1.99485
415,1.928235
416,1.91815
417,1.628756
418,1.247112
419,1.280725
420,1.299546
421,1.257497
422,1.243087
423,1.233716
424,1.185526
425,0.975335
426,1.184385
427,1.203774
428,1.563888
429,1.942799
430,1.949083
431,1.333313
432,1.800065
433,1.95872
434,1.88636
435,1.810693
436,1.295909
437,1.651987
438,1.252732
439,1.233308
440,1.280302
441,1.192756
442,1.25675
443,1.246799
444,1.262388
445,1.285222
446,1.278871
447,1.482478
448,1.297904
449,1.260067
450,1.275608
451,1.625567
452,1.911361
453,1.810035
454,1.913991
455,2.011711
456,1.871275
457,1.635108
458,1.243736
459,1.262197
460,1.297325
461,1.276845
462,1.324144
463,1.250431
464,1.269482
465,1.201457
466,1.205799
467,1.113262
468,1.24388
469,1.294554
470,1.613258
471,1.573058
472,1.110088
473,1.043179
474,1.077887
475,1.089252
476,1.067802
477,1.061598
478,1.168175
479,1.508013
480,1.065812
481,1.052154
482,1.092
483,1.058956
484,1.067818
485,1.055204
486,1.058404
487,1.055075
488,1.047608
489,1.053161
490,1.097019
491,1.114879
492,1.192998
493,1.330545
494,1.337705
495,1.216124
496,1.703121
497,1.885514
498,1.903254
499,1.709848
500,1.258617
501,1.268078
502,1.220047
503,1.371447
504,1.267482
505,1.253868
506,1.263455
507,1.290893
508,1.137703
509,0.891802
510,0.839333
511,0.821859
512,0.825746
513,1.042831
514,1.336442
515,1.738073
516,1.898535
517,1.873288
518,1.885386
519,1.903128
520,1.912376
521,1.871773
522,1.824485
523,1.320535
524,1.26768
525,1.225809
526,1.185454
527,1.26064
528,1.342469
529,1.324092
530,1.257886
531,1.310916
532,1.295003
533,1.261024
534,1.255864
535,1.242144
536,1.385359
537,1.270059
538,1.297619
539,1.385392
540,1.290307
541,1.28013
542,1.294961
543,1.254436
544,1.265756
545,1.390935
546,1.242794
547,1.214892
548,1.208621
549,1.278963
550,1.443809
551,1.335812
552,1.341984
553,1.315249
554,1.351913
555,1.318516
556,1.278488
557,1.268279
558,1.315509
559,1.227351
560,1.23495
561,1.224566
562,1.284273
563,1.318417
564,1.341395
565,1.337595
566,1.298445
567,1.287196
568,1.291843
569,1.312856
570,1.243836
571,1.27104
572,1.252802
573,1.245374
574,1.2579
575,1.202323
576,1.570541
577,1.91735
578,1.56865
579,1.345652
580,1.805794
581,1.881272
582,1.817305
583,1.305724
584,1.759496
585,1.937437
586,1.589034
587,1.260175
588,1.287772
589,1.310094
590,1.671953
591,1.262109
592,1.252408
593,1.308911
594,1.321785
595,1.283794
596,1.256485
597,1.24591
598,1.220244
599,1.219371
600,1.24049
601,1.251199
602,1.341021
603,1.659217
604,1.820892
605,1.117897
606,1.053444
607,1.047574
608,1.050634
609,1.053423
610,1.050999
611,1.050647
612,1.083827
613,1.08541
614,1.080097
615,1.039918
616,1.020484
617,1.060739
618,1.054557
619,1.081018
620,1.059826
621,1.101596
622,1.049774
623,1.12534
624,1.048612
625,1.067886
626,1.068955
627,1.169732
628,1.245831
629,1.224232
630,1.607045
631,1.866772
632,1.862608
633,1.808445
634,1.473052
635,1.515779
636,1.275294
637,1.247069
638,1.216376
639,1.237777
640,1.20024
641,1.301083
642,1.315647
643,1.287994
644,1.250647
645,1.309279
646,1.314548
647,1.325009
648,1.093433
649,0.885042
650,0.851211
651,0.892857
652,1.148818
653,1.237117
654,1.638481
655,1.943159
656,1.880784
657,1.919559
658,1.886057
659,1.872177
660,1.579409
661,1.265157
662,1.620742
663,1.483468
664,1.2427
665,1.265178
666,1.274247
667,1.248583
668,1.233622
669,1.234514
670,1.273615
671,1.668308
672,1.264154
673,1.268231
674,1.301713
675,1.250183
676,1.219731
677,1.463266
678,1.362098
679,1.783571
680,1.859397
681,1.929576
682,1.839613
683,1.870611
684,1.558838
685,1.232637
686,1.599418
687,1.880186
688,1.820735
689,1.250196
690,1.209435
691,1.201337
692,1.402703
693,1.229807
694,1.224852
695,1.438942
696,1.875969
697,1.978786
698,1.286553
699,1.192628
700,1.325066
701,1.83213
702,1.769509
703,1.525538
704,1.849755
705,1.64278
706,1.230107
707,1.469345
708,1.800571
709,2.423741
710,1.96455
711,2.344028
712,1.91466
713,1.837728
714,1.938124
715,1.565619
716,1.789665
717,1.896364
718,1.860295
719,1.814928
720,1.383501
721,1.241679
722,1.323173
723,1.670192
724,1.840244
725,1.264468
726,1.246011
727,1.641739
728,1.75142
729,1.575525
730,1.551163
731,1.062701
732,1.102519
733,1.073365
734,1.035291
735,1.039722
736,1.064993
737,1.077864
738,1.062612
739,1.044755
740,1.066773
741,1.061226
742,1.055048
743,1.058922
744,1.072526
745,1.07728
746,1.111392
747,1.078999
748,1.070901
749,1.052457
750,1.054091
751,1.087115
752,0.970743
753,0.872196
754,0.895875
755,1.191044
756,1.544455
757,1.556281
758,1.838946
759,1.869426
760,1.771802
761,1.593105
762,1.119907
763,0.938642
764,1.159559
765,1.273779
766,1.683919
767,1.906002
768,1.345623
769,1.303185
770,1.64476
771,1.85102
772,1.868044
773,1.628537
774,1.238407
775,1.289718
776,1.616035
777,1.876204
778,12.285233
779,1.302891
780,1.311933
781,1.427597
782,1.925461
783,2.094236
784,1.91403
785,1.883664
786,1.836061
787,1.866595
788,1.793173
789,1.371237
790,1.664361
791,1.289838
792,1.451179
793,1.915853
794,1.868675
795,1.875653
796,1.93105
797,2.249119
798,1.696998
799,1.042314
800,1.203055
801,1.27932
802,1.647077
803,1.859702
804,1.855097
805,1.912593
806,2.064305
807,1.885024
808,1.655973
809,0.88114
810,1.116558
811,1.248218
812,1.407393
813,1.90565
814,1.98222
815,1.909622
816,1.860753
817,1.503808
818,1.390848
819,1.321584
820,1.248629
821,1.237351
822,1.385719
823,1.56765
824,1.90058
825,1.870025
826,1.842373
827,1.882398
828,1.581472
829,1.656256
830,1.007888
831,1.028976
832,1.207071
833,1.330867
834,1.852655
835,1.859544
836,1.934398
837,1.895152
838,1.830462
839,1.65931
840,1.569177
841,1.069198
842,1.218615
843,1.229654
844,1.282261
845,1.333242
846,1.192545
847,1.312561
848,1.646415
849,1.680309
850,1.662374
851,1.649827
852,1.250402
853,1.096122
854,1.064176
855,1.066734
856,1.105848
857,1.056343
858,1.028664
859,1.03374
860,1.034625
861,1.04631
862,1.067886
863,1.088985
864,1.110626
865,1.101228
866,1.073941
867,1.0461
868,1.082923
869,1.108637
870,1.179588
871,1.221616
872,1.179842
873,1.488778
874,1.872539
875,1.82334
876,1.710499
877,1.289642
878,1.418705
879,1.261047
880,1.401443
881,1.478563
882,1.214657
883,1.236538
884,1.733092
885,1.906107
886,1.824493
887,1.874547
888,1.886845
889,1.76931
890,1.799238
891,1.836571
892,1.899211
893,1.942073
894,1.926545
895,1.920816
896,1.882868
897,1.855556
898,1.860628
899,1.854746
900,1.813561
901,1.877181
902,2.140315
903,1.648874
904,1.296651
905,1.43865
906,1.658049
907,1.454931
908,1.257744
909,1.225073
910,1.427615
911,1.215589
912,1.371218
913,2.13135
914,1.871128
915,1.833749
916,1.851903
917,2.533181
918,1.838847
919,1.859518
920,1.92394
921,1.883847
922,1.83857
923,1.906654
924,1.918242
925,1.853624
926,1.817557
927,1.872906
928,1.895182
929,1.805045
930,1.844589
931,1.857895
932,1.856422
933,1.88368
934,1.821055
935,1.889146
936,1.954133
937,1.330282
938,1.346056
939,1.757493
940,1.83848
941,1.871832
942,1.832691
943,1.8658
944,1.89733
945,1.823394
946,1.828499
947,2.015825
948,1.863514
949,1.911995
950,1.817685
951,1.869544
952,1.903873
953,2.166453
954,1.858035
955,1.866646
956,1.87341
957,1.808913
958,1.81565
959,1.614375
960,1.63101
961,1.709544
962,1.299123
963,1.032623
964,1.036636
965,1.038896
966,1.038502
967,1.059358
968,1.070028
969,1.046634
970,1.046298
971,1.12312
972,1.045579
973,1.08273
974,1.123728
975,1.104644
