iteration,latency_ms
0,0.304749
1,0.205217
2,0.157562
3,0.148502
4,0.1465
5,0.15161
6,0.144885
7,0.146357
8,0.158827
9,0.148816
10,0.147771
11,0.149798
12,0.152259
13,0.149796
14,0.146933
15,0.146963
16,0.145831
17,0.148214
18,0.143906
19,0.159886
20,0.165328
21,0.161103
22,0.154893
23,0.155253
24,0.153464
25,0.150237
26,0.161461
27,0.174776
28,0.170523
29,0.176879
30,0.175769
31,0.172162
32,0.163791
33,0.163914
34,0.164421
35,0.159113
36,0.160134
37,0.164652
38,0.168958
39,0.175044
40,0.169429
41,0.172716
42,0.204219
43,0.270187
44,0.269727
45,0.303185
46,0.296358
47,0.19852
48,0.173864
49,0.177315
50,0.186628
51,0.18885
52,0.193314
53,0.18805
54,0.189604
55,0.194209
56,0.206697
57,0.206038
58,0.202872
59,0.203179
60,0.2132
61,0.21251
62,0.221927
63,0.213703
64,0.211571
65,0.203708
66,0.218363
67,0.212896
68,0.203243
69,0.193818
70,0.190293
71,0.192731
72,0.191676
73,0.195137
74,0.190768
75,0.189509
76,0.201962
77,0.192358
78,0.192293
79,0.186006
80,0.189262
81,0.207346
82,0.19279
83,0.187066
84,0.199356
85,0.194646
86,0.205075
87,0.194553
88,0.184825
89,0.183125
90,0.188731
91,0.200976
92,0.186621
93,0.193532
94,0.194104
95,0.186823
96,0.191178
97,0.191174
98,0.189307
99,0.19171
100,0.194133
101,0.188198
102,0.190428
103,0.192036
104,0.189983
105,0.218214
106,0.207616
107,0.205228
108,0.205063
109,0.21286
110,0.215519
111,0.215538
112,0.213379
113,0.224001
114,0.220811
115,0.226234
116,0.222964
117,0.21463
118,0.210891
119,0.198949
120,0.263141
121,0.294726
122,0.300408
123,0.322355
124,0.263136
125,0.201501
126,0.204343
127,0.20095
128,0.20614
129,0.205216
130,0.220727
131,0.217998
132,0.21879
133,0.214519
134,0.223566
135,0.209996
136,0.219698
137,0.217142
138,0.220772
139,0.201222
140,0.204781
141,0.204252
142,0.203351
143,0.201184
144,0.199962
145,0.203516
146,0.206741
147,0.205893
148,0.18759
149,0.190008
150,0.193541
151,0.192206
152,0.188885
153,0.188843
154,0.191131
155,0.191054
156,0.194344
157,0.19741
158,0.194225
159,0.203
160,0.218921
161,0.216626
162,0.209455
163,0.215485
164,0.214888
165,0.233391
166,0.220946
167,0.219842
168,0.229613
169,0.21824
170,0.22013
171,0.216566
172,0.22031
173,0.218705
174,0.226147
175,0.214588
176,0.214037
177,0.210113
178,0.215888
179,0.226071
180,0.219441
181,0.212814
182,0.200483
183,0.218918
184,0.205196
185,0.201502
186,0.185051
187,0.192688
188,0.195173
189,0.187425
190,0.185462
191,0.189947
192,0.192497
193,0.202379
194,0.188891
195,0.193347
196,0.199327
197,0.260011
198,0.273334
199,0.280067
200,0.257787
201,0.211226
202,0.202698
203,0.191712
204,0.201894
205,0.209784
206,0.210707
207,0.203008
208,0.206796
209,0.220435
210,0.214263
211,0.226559
212,0.219525
213,0.225285
214,0.24344
215,0.250012
216,0.243314
217,0.2339
218,0.239765
219,0.244199
220,0.236928
221,0.223178
222,0.217915
223,0.224446
224,0.217185
225,0.225477
226,0.212474
227,0.215
228,0.226535
229,0.214761
230,0.207671
231,0.208471
232,0.208515
233,0.210468
234,0.211661
235,0.206991
236,0.198557
237,0.208004
238,0.202077
239,0.20181
240,0.257332
241,0.227541
242,0.225876
243,0.236017
244,0.237772
245,0.239729
246,0.239278
247,0.229468
248,0.233871
249,0.233656
250,0.240138
251,0.236704
252,0.227094
253,0.217865
254,0.221224
255,0.218445
256,0.22017
257,0.21766
258,0.218619
259,0.223377
260,0.221993
261,0.205051
262,0.204196
263,0.203338
264,0.204406
265,0.201943
266,0.204028
267,0.209658
268,0.22388
269,0.278818
270,0.285791
271,0.307098
272,0.28689
273,0.304795
274,0.271059
275,0.207704
276,0.199995
277,0.201787
278,0.228878
279,0.225179
280,0.218613
281,0.235162
282,0.233644
283,0.246423
284,0.238725
285,0.238248
286,0.237233
287,0.231326
288,0.244602
289,0.235216
290,0.236928
291,0.241049
292,0.24036
293,0.242549
294,0.234613
295,0.228624
296,0.254921
297,0.231713
298,0.21947
299,0.22242
300,0.218948
301,0.219882
302,0.227744
303,0.214686
304,0.208562
305,0.206082
306,0.204778
307,0.224232
308,0.214822
309,0.224734
310,0.216004
311,0.220303
312,0.205655
313,0.200671
314,0.206398
315,0.20373
316,0.209367
317,0.205079
318,0.206156
319,0.203875
320,0.202084
321,0.208731
322,0.207121
323,0.205161
324,0.195272
325,0.20006
326,0.206722
327,0.205311
328,0.204841
329,0.20319
330,0.216885
331,0.229561
332,0.215678
333,0.221234
334,0.217353
335,0.22288
336,0.232679
337,0.238738
338,0.227992
339,0.24156
340,0.258586
341,0.334994
342,0.330405
343,0.319563
344,0.304084
345,0.217371
346,0.218944
347,0.219096
348,0.213233
349,0.215935
350,0.233222
351,0.241303
352,0.239181
353,0.242011
354,0.250426
355,0.258413
356,0.267659
357,0.251728
358,0.232939
359,0.233081
360,0.235245
361,0.232855
362,0.233166
363,0.237822
364,0.239028
365,0.235997
366,0.226213
367,0.228795
368,0.222581
369,0.219294
370,0.218422
371,0.217876
372,0.219313
373,0.217468
374,0.224674
375,0.20891
376,0.201089
377,0.212483
378,0.212661
379,0.200739
380,0.210925
381,0.206985
382,0.209969
383,0.199339
384,0.204451
385,0.200533
386,0.201494
387,0.210552
388,0.204792
389,0.219233
390,0.230893
391,0.223453
392,0.215765
393,0.240706
394,0.232765
395,0.239227
396,0.23955
397,0.24053
398,0.239021
399,0.236394
400,0.231979
401,0.224613
402,0.222248
403,0.218508
404,0.225665
405,0.21713
406,0.217471
407,0.213412
408,0.222293
409,0.217245
410,0.212035
411,0.264982
412,0.29201
413,0.310306
414,0.300696
415,0.222821
416,0.217228
417,0.199865
418,0.211773
419,0.219671
420,0.216687
421,0.221904
422,0.226586
423,0.233323
424,0.238929
425,0.227398
426,0.235792
427,0.230871
428,0.234949
429,0.23947
430,0.236058
431,0.219721
432,0.211821
433,0.226291
434,0.213497
435,0.213101
436,0.212561
437,0.223779
438,0.219019
439,0.218185
440,0.210256
441,0.202236
442,0.221009
443,0.206348
444,0.203098
445,0.216594
446,0.217926
447,0.231997
448,0.221867
449,0.232047
450,0.228906
451,0.247481
452,0.239287
453,0.249286
454,0.249758
455,0.256426
456,0.277199
457,0.278289
458,0.280376
459,0.270732
460,0.254139
461,0.248969
462,0.260805
463,0.252721
464,0.24305
465,0.232379
466,0.241262
467,0.23244
468,0.242876
469,0.222475
470,0.221474
471,0.217698
472,0.221615
473,0.211931
474,0.221999
475,0.222692
476,0.21195
477,0.201513
478,0.201762
479,0.205619
480,0.258234
481,0.281392
482,0.29831
483,0.31561
484,0.214941
485,0.198394
486,0.199643
487,0.204944
488,0.209348
489,0.206187
490,0.215554
491,0.222225
492,0.221553
493,0.22143
494,0.222068
495,0.233817
496,0.250534
497,0.237134
498,0.238744
499,0.232071
500,0.246699
501,0.236507
502,0.219775
503,0.216165
504,0.233266
505,0.217073
506,0.20773
507,0.2014
508,0.20585
509,0.210168
510,0.199274
511,0.204108
512,0.201608
513,0.201473
514,0.215523
515,0.202661
516,0.187453
517,0.190337
518,0.198897
519,0.191904
520,0.190569
521,0.196619
522,0.200954
523,0.20396
524,0.206458
525,0.204904
526,0.212541
527,0.224204
528,0.226998
529,0.233147
530,0.232714
531,0.233653
532,0.255557
533,0.240916
534,0.22991
535,0.228328
536,0.25562
537,0.236481
538,0.220033
539,0.215027
540,0.214989
541,0.226867
542,0.215606
543,0.20487
544,0.204917
545,0.213876
546,0.198702
547,0.204511
548,0.197764
549,0.200632
550,0.208934
551,0.20255
552,0.202749
553,0.192941
554,0.245291
555,0.27386
556,0.288605
557,0.296872
558,0.219282
559,0.19427
560,0.192403
561,0.203918
562,0.206634
563,0.210534
564,0.202214
565,0.205032
566,0.216847
567,0.215922
568,0.238271
569,0.223438
570,0.218234
571,0.216529
572,0.215526
573,0.222211
574,0.211313
575,0.200154
576,0.205828
577,0.218859
578,0.204664
579,0.199829
580,0.205667
581,0.202007
582,0.20066
583,0.197717
584,0.184152
585,0.193506
586,0.197213
587,0.193323
588,0.193191
589,0.187985
590,0.193258
591,0.19839
592,0.19237
593,0.195904
594,0.20203
595,0.207104
596,0.21901
597,0.207367
598,0.19915
599,0.206499
600,0.219413
601,0.2248
602,0.217624
603,0.213598
604,0.209358
605,0.232661
606,0.215694
607,0.216307
608,0.214489
609,0.205262
610,0.212893
611,0.20252
612,0.207513
613,0.197976
614,0.206701
615,0.215597
616,0.203099
617,0.199376
618,0.187284
619,0.200263
620,0.189145
621,0.18725
622,0.182668
623,0.189882
624,0.189492
625,0.19925
626,0.188397
627,0.184212
628,0.185461
629,0.185053
630,0.194602
631,0.207857
632,0.256943
633,0.261951
634,0.289472
635,0.26089
636,0.196921
637,0.190365
638,0.190208
639,0.183572
640,0.18636
641,0.185398
642,0.196436
643,0.212749
644,0.205872
645,0.198735
646,0.220218
647,0.219168
648,0.220337
649,0.209215
650,0.218017
651,0.215356
652,0.228015
653,0.215759
654,0.207876
655,0.202524
656,0.199209
657,0.208332
658,0.203868
659,0.202582
660,0.197388
661,0.201793
662,0.212206
663,0.205421
664,0.181627
665,0.189266
666,0.187268
667,0.191233
668,0.186788
669,0.192222
670,0.186658
671,0.200428
672,0.261395
673,0.289364
674,0.30416
675,0.306612
676,0.300359
677,0.310025
678,0.318342
679,0.303337
680,0.295896
681,0.31071
682,0.304334
683,0.285697
684,0.282222
685,0.292431
686,0.284008
687,0.270386
688,0.274346
689,0.269684
690,0.267608
691,0.263795
692,0.275283
693,0.270428
694,0.266692
695,0.271472
696,0.274018
697,0.271312
698,0.268526
699,0.266565
700,0.269595
701,0.2517
702,0.252213
703,0.253358
704,0.261339
705,0.261342
706,0.267483
707,0.261048
708,0.274352
709,0.282326
710,0.294561
711,0.286687
712,0.287854
713,0.287916
714,0.288384
715,0.283913
716,0.289534
717,0.290443
718,0.269171
719,0.258747
720,0.274804
721,0.267217
722,0.265509
723,0.264151
724,0.267539
725,0.264442
726,0.288763
727,0.289442
728,0.289524
729,0.296068
730,0.306702
731,0.315528
732,0.3106
733,0.306593
734,0.306653
735,0.304437
736,0.307995
737,0.313022
738,0.309237
739,0.28256
740,0.290386
741,0.294458
742,0.286126
743,0.297385
744,0.281633
745,0.274805
746,0.281306
747,0.287953
748,0.282547
749,0.280726
750,0.289477
751,0.281725
752,0.271886
753,0.263015
754,0.283129
755,0.266233
756,0.276114
757,0.277829
758,0.264238
759,0.264032
760,0.264207
761,0.268123
762,0.264923
763,0.269446
764,0.28466
765,0.284613
766,0.301124
767,0.300195
768,0.305305
769,0.305034
770,0.336457
771,0.33718
772,0.326316
773,0.308857
774,0.316637
775,0.317968
776,0.304708
777,0.313924
778,0.31852
779,0.32661
780,0.331961
781,0.351315
782,0.360614
783,0.371935
784,0.34948
785,0.332827
786,0.329534
787,0.322792
788,0.332771
789,0.347036
790,0.307292
791,0.302161
792,0.305136
793,0.307512
794,0.303938
795,0.312404
796,0.30855
797,0.288399
798,0.291146
799,0.275439
800,0.29041
801,0.291311
802,0.287878
803,0.291713
804,0.287287
805,0.300776
806,0.290493
807,0.290687
808,0.295716
809,0.285531
810,0.285309
811,0.293512
812,0.297301
813,0.305503
814,0.307453
815,0.316429
816,0.312586
817,0.321826
818,0.335053
819,0.354698
820,0.372598
821,0.346568
822,0.354187
823,0.366762
824,0.367691
825,0.384373
826,0.387429
827,0.406696
828,0.439018
829,0.480723
830,0.487146
831,0.441573
832,0.444821
833,0.418262
834,0.402844
835,0.388535
836,0.373994
837,0.370293
838,0.34954
839,0.325324
840,0.33654
841,0.324788
842,0.332127
843,0.313574
844,0.305859
845,0.307387
846,0.309953
847,0.310015
848,0.283972
849,0.286219
850,0.284074
851,0.286705
852,0.293259
853,0.31102
854,0.291359
855,0.291222
856,0.288771
857,0.290281
858,0.287703
859,0.293232
860,0.295706
861,0.287701
862,0.289312
863,0.298354
864,0.3022
865,0.300442
866,0.329619
867,0.325067
868,0.319879
869,0.33767
870,0.347461
871,0.36579
872,0.365099
873,0.352007
874,0.367398
875,0.366285
876,0.352957
877,0.262636
878,0.25227
879,0.247341
880,0.275358
881,0.284009
882,0.284447
883,0.274737
884,0.279689
885,0.28987
886,0.263112
887,0.256566
888,0.258392
889,0.248999
890,0.236567
891,0.230655
892,0.239496
893,0.230055
894,0.212271
895,0.215048
896,0.227579
897,0.227327
898,0.213633
899,0.214559
900,0.21532
901,0.219358
902,0.219105
903,0.225878
904,0.215036
905,0.216651
906,0.21375
907,0.216346
908,0.208266
909,0.201218
910,0.20392
911,0.20226
912,0.201705
913,0.213276
914,0.215611
915,0.219064
916,0.216884
917,0.232752
918,0.228171
919,0.245103
920,0.237175
921,0.237065
922,0.253982
923,0.265646
924,0.252559
925,0.269659
926,0.271395
927,0.295025
928,0.278639
929,0.274917
930,0.275277
931,0.270287
932,0.253357
933,0.252821
934,0.254136
935,0.238083
936,0.236944
937,0.225318
938,0.229746
939,0.231318
940,0.218345
941,0.220374
942,0.212949
943,0.216847
944,0.212504
945,0.209219
946,0.215464
947,0.21991
948,0.211539
949,0.215802
950,0.198306
951,0.205102
952,0.196465
953,0.195949
954,0.198515
955,0.204351
956,0.203058
957,0.199311
958,0.200345
959,0.197031
960,0.201482
961,0.202416
962,0.19983
963,0.20143
964,0.200676
965,0.196837
966,0.206145
967,0.196753
968,0.204441
969,0.19969
970,0.198463
971,0.201406
972,0.207346
973,0.188079
974,0.187203
975,0.180811
976,0.189493
977,0.185543
978,0.188761
979,0.194917
980,0.203237
981,0.202719
982,0.199896
983,0.207862
984,0.212295
985,0.214554
986,0.21604
987,0.22254
988,0.230452
989,0.240267
990,0.23174
991,0.228874
992,0.229959
993,0.230243
994,0.237232
995,0.237146
996,0.239111
997,0.245838
998,0.250964
999,0.252535
1000,0.253452
1001,0.27499
1002,0.284868
1003,0.28355
1004,0.30487
1005,0.312462
1006,0.302982
1007,0.28548
1008,0.278566
1009,0.28426
