iteration,latency_ms
0,1.52028
1,1.100598
2,0.589967
3,0.642446
4,0.737868
5,0.908269
6,0.809345
7,0.615808
8,0.657588
9,0.722992
10,0.63417
11,0.759902
12,1.151871
13,0.802299
14,0.740414
15,0.878642
16,0.795033
17,0.675633
18,0.56045
19,0.550483
20,0.501726
21,0.495545
22,0.498777
23,0.51658
24,0.476646
25,0.426535
26,0.476827
27,0.550039
28,0.566502
29,0.533437
30,0.56078
31,0.547317
32,0.684612
33,0.742295
34,1.015933
35,0.731134
36,0.831757
37,1.035048
38,0.937083
39,1.103032
40,0.880784
41,0.874476
42,0.860761
43,0.818841
44,1.003429
45,0.987569
46,0.905088
47,0.854586
48,0.61781
49,0.648702
50,0.761319
51,0.843526
52,0.990002
53,0.943804
54,0.954095
55,0.875012
56,1.088792
57,0.673074
58,0.632026
59,0.582773
60,0.675462
61,0.86844
62,0.784877
63,0.592675
64,0.616737
65,0.692003
66,0.708148
67,0.654412
68,0.618393
69,0.598953
70,0.599969
71,0.579002
72,0.461802
73,0.38587
74,0.480459
75,0.652904
76,0.693424
77,0.641866
78,0.585453
79,0.597316
80,0.600294
81,0.73402
82,0.666944
83,0.797206
84,0.763018
85,0.808923
86,0.569347
87,0.553458
88,0.572253
89,0.532226
90,0.915611
91,0.819482
92,0.646733
93,0.585409
94,0.601507
95,0.559978
96,0.522865
97,0.578195
98,0.593544
99,0.54962
100,0.75162
101,0.625219
102,0.589919
103,0.579434
104,0.693417
105,0.662378
106,0.607266
107,0.647947
108,0.664486
109,0.606417
110,0.722023
111,0.797737
112,0.916475
113,0.901975
114,1.080927
115,1.014531
116,1.009169
117,0.890619
118,0.846286
119,0.541391
120,0.558911
121,0.777724
122,0.824848
123,0.802445
124,0.828955
125,0.802746
126,0.847419
127,0.969872
128,0.821336
129,0.860868
130,0.888096
131,0.682966
132,0.67225
133,0.720531
134,0.674689
135,0.597569
136,0.599372
137,0.610532
138,0.600374
139,0.600584
140,0.683324
141,0.609147
142,0.701431
143,0.666632
144,0.61205
145,0.600492
146,0.597935
147,0.646931
148,0.648933
149,0.773669
150,0.710759
151,0.644001
152,0.600851
153,0.650206
154,0.622779
155,0.600343
156,0.601505
157,0.630964
158,0.687504
159,0.56904
160,0.570619
161,0.591496
162,0.580357
163,0.549864
164,0.624086
165,0.555343
166,0.566788
167,0.551128
168,0.576825
169,0.559734
170,0.536943
171,0.60515
172,0.590209
173,0.576834
174,0.604265
175,0.586722
176,0.6958
177,0.878717
178,0.961357
179,0.888369
180,0.83582
181,0.876494
182,1.063069
183,0.92918
184,0.895418
185,0.945048
186,0.91609
187,0.896429
188,0.909276
189,0.9726
190,0.99773
191,0.940494
192,0.912043
193,0.903793
194,0.983482
195,0.674436
196,0.640877
197,0.621255
198,0.576201
199,0.669815
200,0.722693
201,1.026663
202,0.87208
203,0.870663
204,0.886117
205,0.956168
206,1.436426
207,1.038309
208,0.645281
209,0.641374
210,0.610795
211,0.595477
212,0.589564
213,0.615894
214,0.852731
215,0.915701
216,0.699109
217,0.644417
218,0.61474
219,0.612753
220,0.579513
221,0.738318
222,0.847953
223,0.715623
224,0.586804
225,0.743364
226,0.809789
227,0.90195
228,0.665277
229,0.869184
230,0.65213
231,0.665362
232,0.634599
233,0.635879
234,0.635974
235,0.646159
236,0.625629
237,0.804105
238,0.71932
239,0.851875
240,0.889553
241,0.863356
242,0.897982
243,1.028095
244,0.956885
245,0.919319
246,0.807392
247,0.630727
248,0.646928
249,0.854525
250,0.808291
251,0.693613
252,0.818882
253,0.870923
254,0.927937
255,0.883652
256,2.14558
257,0.991934
258,0.844826
259,0.861195
260,0.849702
261,0.856856
262,0.899944
263,0.941618
264,0.93691
265,1.972585
266,0.916831
267,1.083407
268,0.902112
269,0.838239
270,0.857551
271,0.60431
272,0.565779
273,0.707199
274,0.535793
275,0.488077
276,0.599654
277,0.665576
278,0.952507
279,0.83295
280,0.872815
281,0.768203
282,1.404593
283,0.777172
284,0.750918
285,0.838558
286,0.847851
287,1.018014
288,0.764681
289,0.885087
290,0.897363
291,0.795954
292,0.534132
293,0.447518
294,0.543157
295,0.595549
296,0.766444
297,0.820817
298,0.788084
299,0.785387
300,0.757638
301,0.803851
302,0.952548
303,0.828535
304,0.842366
305,0.788054
306,0.819726
307,0.870205
308,0.8843
309,0.912012
310,0.897812
311,0.854695
312,0.851059
313,0.913211
314,0.886429
315,0.856741
316,0.800017
317,0.793073
318,0.810466
319,0.926383
320,0.862132
321,0.815255
322,0.86456
323,0.864357
324,0.822308
325,0.82208
326,0.897815
327,0.755923
328,0.815023
329,0.848605
330,0.829024
331,0.854984
332,0.963584
333,0.813484
334,0.781091
335,0.928576
336,0.851403
337,0.774513
338,0.741644
339,0.994544
340,0.724752
341,0.781555
342,0.758383
343,0.765127
344,0.764513
345,0.894421
346,0.770318
347,0.75734
348,0.850219
349,0.811868
350,0.614858
351,0.586884
352,0.62985
353,0.639639
354,0.627214
355,0.619982
356,0.683685
357,0.636992
358,0.580478
359,0.555842
360,0.526717
361,0.541111
362,0.649425
363,0.579698
364,0.579123
365,0.530586
366,0.60627
367,0.632497
368,0.625675
369,0.596675
370,0.60046
371,0.597459
372,0.571045
373,0.58406
374,0.605884
375,0.375093
376,0.365077
377,0.461036
378,0.508192
379,0.636843
380,0.712358
381,0.628878
382,0.653929
383,0.687211
384,0.67426
385,0.721866
386,0.74486
387,0.580267
388,0.588968
389,0.792663
390,0.571014
391,0.471626
392,0.410258
393,0.468152
394,0.486469
395,0.507556
396,0.542567
397,0.564372
398,0.678286
399,0.586702
400,0.582984
401,0.596398
402,0.505814
403,0.436238
404,0.452237
405,0.429158
406,0.453244
407,0.442587
408,0.447716
409,0.486235
410,0.475841
411,0.466147
412,0.592792
413,0.500628
414,0.478952
415,0.530617
416,0.493871
417,0.576247
418,0.541462
419,0.501255
420,0.533464
421,0.520929
422,0.626775
423,0.624321
424,0.591743
425,0.622047
426,0.578891
427,0.631938
428,0.553513
429,0.495597
