iteration,latency_ms
0,0.382665
1,0.225451
2,0.157931
3,0.141455
4,0.150373
5,0.144179
6,0.151979
7,0.144339
8,0.148307
9,0.144329
10,0.150932
11,0.160875
12,0.143042
13,0.146013
14,0.142853
15,0.154159
16,0.148017
17,0.152545
18,0.145258
19,0.154067
20,0.151993
21,0.150504
22,0.158706
23,0.161474
24,0.162728
25,0.183928
26,0.168748
27,0.162627
28,0.153698
29,0.162625
30,0.156571
31,0.185221
32,0.191447
33,0.17251
34,0.165962
35,0.193655
36,0.18271
37,0.163263
38,0.157802
39,0.181495
40,0.180965
41,0.166987
42,0.183536
43,0.172628
44,0.177009
45,0.201745
46,0.175294
47,0.175688
48,0.178759
49,0.188797
50,0.188234
51,0.192269
52,0.189233
53,0.211431
54,0.198709
55,0.22349
56,0.203537
57,0.205083
58,0.202215
59,0.19837
60,0.202939
61,0.202596
62,0.214338
63,0.21454
64,0.200294
65,0.194795
66,0.192253
67,0.20654
68,0.203154
69,0.194799
70,0.203898
71,0.19148
72,0.202702
73,0.205812
74,0.186817
75,0.190272
76,0.186758
77,0.185976
78,0.188307
79,0.187701
80,0.187754
81,0.209502
82,0.243338
83,0.186862
84,0.182693
85,0.181923
86,0.181146
87,0.190435
88,0.189087
89,0.187131
90,0.195798
91,0.203124
92,0.203215
93,0.205555
94,0.202047
95,0.205226
96,0.204351
97,0.213024
98,0.209579
99,0.208204
100,0.216504
101,0.219192
102,0.213688
103,0.202024
104,0.198747
105,0.200326
106,0.208019
107,0.212526
108,0.202135
109,0.205521
110,0.197724
111,0.200083
112,0.191548
113,0.191464
114,0.192785
115,0.196656
116,0.206778
117,0.190938
118,0.190748
119,0.181223
120,0.180352
121,0.183441
122,0.182985
123,0.189079
124,0.190865
125,0.188814
126,0.196117
127,0.19281
128,0.208173
129,0.207528
130,0.209476
131,0.209729
132,0.225541
133,0.219039
134,0.221561
135,0.222007
136,0.221776
137,0.233439
138,0.244557
139,0.241711
140,0.241521
141,0.23587
142,0.240196
143,0.243138
144,0.233635
145,0.222219
