iteration,latency_ms
0,1.60655
1,0.627165
2,0.486207
3,0.471098
4,0.484711
5,0.532198
6,0.4544
7,0.408078
8,0.424703
9,0.45607
10,0.461369
11,7.266083
12,0.823245
13,0.582229
14,0.616968
15,0.656551
16,0.709383
17,0.639789
18,0.409146
19,0.400755
20,0.429409
21,0.365898
22,0.409497
23,0.417926
24,0.458745
25,0.432849
26,0.415669
27,0.362557
28,0.348332
29,0.36979
30,0.637678
31,0.546599
32,0.517663
33,0.499365
34,0.467489
35,0.498085
36,0.384398
37,0.31664
38,0.340373
39,0.353803
40,0.307859
41,0.318718
42,0.351843
43,0.388043
44,0.463612
45,0.342447
46,0.36991
47,0.351638
48,0.346729
49,0.414038
50,0.460741
51,0.454341
52,0.371633
53,0.350953
54,0.494045
55,0.50662
56,0.538895
57,0.783379
58,0.802293
59,0.445252
60,0.418571
61,0.598242
62,0.667083
63,0.629672
64,0.754374
65,1.081965
66,0.959799
67,0.914664
68,0.729945
69,0.640402
70,0.622016
71,0.641586
72,0.630283
73,0.604909
74,0.61845
75,0.514455
76,0.537807
77,0.417195
78,0.371509
79,0.430204
80,0.404897
81,0.495692
82,0.487293
83,0.580814
84,0.761742
85,0.680466
86,0.657955
87,0.619177
88,0.552025
89,0.629414
90,0.757113
91,0.663553
92,0.871878
93,0.919805
94,0.762456
95,0.613749
96,0.618899
97,0.610637
98,0.590337
99,0.624187
100,0.615323
101,0.656961
102,0.606932
103,0.60643
104,0.568503
105,0.507058
106,0.510313
107,0.575259
108,0.61756
109,0.640746
110,0.52643
111,0.45395
112,0.434325
113,0.432899
114,0.414233
115,0.40648
116,0.425965
117,0.402545
118,0.417326
119,0.574998
120,0.653175
121,0.621924
122,0.616511
123,0.62142
124,0.594164
125,0.592935
126,0.635258
127,0.603071
128,0.524757
129,0.578521
130,0.616674
131,0.565909
132,0.441048
133,0.40686
134,0.574171
135,0.602063
136,0.516717
137,0.579302
138,0.612477
139,0.624323
140,0.648702
141,0.65917
142,0.635378
143,0.626284
144,0.619601
145,0.637513
146,0.735466
147,0.450206
148,0.408306
149,0.425
150,0.412675
151,0.419021
152,0.408344
153,0.401916
154,0.489107
155,0.593461
156,0.592638
157,0.632964
158,0.606739
159,0.609125
160,0.589509
161,0.583318
162,0.6419
163,0.595702
164,0.600525
165,0.57904
166,0.43226
167,0.407203
168,0.448302
169,0.402147
170,0.420605
171,0.403787
172,0.490311
173,0.441828
174,0.434035
175,0.442929
176,0.407579
177,0.424374
178,0.416353
179,0.44178
180,0.564629
181,0.650453
182,0.625476
183,0.628848
184,0.629208
185,0.590079
186,0.609408
187,0.664476
188,0.680232
189,0.58625
190,0.437809
191,0.473441
192,0.503401
193,0.448996
194,0.407391
195,0.417561
196,0.400741
197,0.406102
198,0.411207
199,0.397854
200,0.421379
201,0.42053
202,0.442203
203,0.456601
204,0.576239
205,0.608213
206,0.621071
207,0.517814
208,0.470737
209,0.418532
210,0.422918
211,0.441941
212,0.433234
213,0.409689
214,0.413735
215,0.434855
216,0.411277
217,0.4281
218,0.408078
219,0.404266
220,0.421367
221,0.410851
222,0.425893
223,0.430136
224,0.424562
225,0.415029
226,0.438038
227,0.421031
228,0.445596
229,0.458765
230,0.413439
231,0.428941
232,0.516424
233,0.649705
234,0.631618
235,0.676872
236,0.627463
237,0.724116
238,0.89331
239,0.915641
240,0.956028
241,0.95282
242,0.904319
243,0.714101
244,0.609615
245,0.622214
246,0.686409
247,0.76944
248,0.84855
249,0.932043
250,0.924152
251,0.700673
252,0.717357
253,0.842208
254,0.987838
255,0.62207
256,0.502889
257,0.473022
258,0.466935
259,0.487805
260,0.565496
261,0.699227
262,0.643952
263,0.624274
264,0.654408
265,0.640221
266,0.619139
267,0.614361
268,0.697387
269,0.870399
270,0.904511
271,0.919131
272,0.868405
273,0.906188
274,0.6104
275,0.612914
276,0.606752
277,0.621119
278,0.61893
279,0.622833
280,0.645727
281,0.621661
282,0.608019
283,0.669641
284,0.708809
285,0.908418
286,5.98191
287,0.873571
288,0.903845
289,0.976194
290,0.966368
291,0.940211
292,0.93131
293,0.914467
294,0.954408
295,0.914078
296,0.990208
297,0.933763
298,0.90247
299,0.905792
300,0.892696
301,0.916648
302,0.918044
303,0.910752
304,1.029189
305,0.954869
306,0.727407
307,0.697
308,0.727438
309,0.897885
310,0.86207
311,0.944313
312,0.943674
313,0.93012
314,0.936536
315,0.909362
316,0.932689
317,0.929725
318,0.943271
319,0.958512
320,0.892798
321,0.645336
322,2.827219
323,0.818
324,0.700614
325,0.50175
326,0.426098
327,0.4433
328,0.502658
329,0.546954
330,0.53715
331,0.74514
332,0.857431
333,0.909827
334,0.930928
335,0.95011
336,0.92579
337,0.908568
338,0.895146
339,0.937633
340,0.91236
341,0.893828
342,0.483719
343,0.421737
344,0.452953
345,0.426359
346,0.437771
347,0.451236
348,0.613559
349,0.721036
350,0.936936
351,0.956355
352,0.632743
353,0.697834
354,0.76943
355,0.946975
356,0.927464
357,0.979097
358,0.96855
359,0.930319
360,0.898877
361,0.898683
362,0.906175
363,0.929684
364,0.81269
365,0.625726
366,0.742184
367,0.575669
368,0.459034
369,0.473301
370,0.569555
371,0.617774
372,0.682403
373,0.680629
374,0.741583
375,0.945737
376,0.961741
377,0.969527
378,0.98859
379,0.954866
380,0.900264
381,0.952659
382,1.064513
383,0.766712
384,0.709925
385,0.683043
386,0.606299
387,0.650078
388,0.602251
389,0.583184
390,0.622602
391,0.615848
392,0.574894
393,0.58544
394,0.559785
395,0.662901
396,0.862315
397,0.911077
398,0.969475
399,0.886943
400,0.641794
401,0.651162
402,0.716391
403,0.84819
404,0.957198
405,0.822346
406,0.730909
407,0.738394
408,0.64919
409,0.453283
410,0.419267
411,0.431733
412,0.406561
413,0.4269
414,0.404745
415,0.414432
416,0.423142
417,0.406967
418,0.461717
419,0.452219
420,0.669389
421,0.842644
422,0.970786
423,0.979996
424,0.949011
425,0.892444
426,0.923825
427,1.031538
428,1.07585
429,0.785139
430,0.679294
431,0.655261
432,0.634462
433,0.515623
434,0.433408
435,0.626208
436,0.445848
437,0.432736
438,0.414019
439,0.425625
440,0.45856
441,0.570506
442,0.620669
443,0.639847
444,0.650258
445,0.655912
446,0.673829
447,0.61583
448,0.610512
449,0.47922
450,0.409038
451,0.471717
452,0.737263
453,0.940606
454,0.958017
455,0.733899
456,0.623278
457,0.624556
458,0.6107
459,0.639465
460,0.689506
461,0.664916
462,0.469079
463,0.448393
464,0.427967
465,0.438082
466,0.415649
467,0.454067
468,0.446008
469,0.415118
470,0.42746
471,0.41157
472,0.428026
473,0.427905
474,0.423742
475,0.485691
476,0.461029
477,0.440548
478,0.423243
479,0.482527
480,0.454581
481,0.479903
482,0.460161
483,0.438774
484,0.406262
485,0.397681
486,0.419997
487,0.421978
488,0.444624
489,0.427596
490,0.453787
491,0.465505
492,0.42382
493,0.432802
494,0.412795
495,0.419101
496,0.490287
497,0.461033
498,0.412909
499,0.406034
500,0.43547
501,0.42398
502,0.44565
503,0.421171
504,0.460604
505,0.447206
506,0.467301
507,0.406464
508,0.403624
509,0.419611
510,0.403372
511,0.42242
512,0.418237
513,0.4353
514,0.45049
515,0.422842
516,0.439357
517,0.427615
518,0.43227
519,0.455154
520,0.423933
521,0.412545
522,0.397349
523,0.414946
524,0.40759
525,0.425259
526,0.400777
527,0.437696
528,0.607607
529,0.616906
530,0.660952
531,0.657617
532,0.730752
533,0.934707
534,0.900738
535,0.930107
536,0.919834
537,0.932138
538,0.896887
539,0.897861
540,0.91277
541,0.734122
542,0.598676
543,0.620726
544,0.667412
545,0.666193
546,0.758929
547,0.9242
548,0.875798
549,0.875029
550,1.071122
551,1.068596
552,1.036539
553,0.987742
554,0.977001
555,0.768649
556,0.619776
557,0.608027
558,0.670133
559,0.712972
560,0.491771
561,0.437581
562,0.588283
563,0.660023
564,0.447107
565,0.471965
566,0.417677
567,0.404113
568,0.456565
569,0.414416
570,0.491644
571,0.481604
572,0.586723
573,0.590275
574,0.433344
575,0.418648
576,0.490715
577,0.472682
578,0.499563
579,0.512259
580,0.63302
581,0.658962
582,0.629037
583,0.770391
584,0.935517
585,0.918058
586,0.94274
587,0.915882
588,0.900943
589,0.899319
590,0.683519
591,0.627565
592,0.706273
593,0.448195
594,0.426042
595,0.699063
596,0.962665
597,0.923669
598,0.882774
599,0.901539
600,0.918688
601,0.823411
602,0.602042
603,0.699276
604,0.779587
605,1.040589
606,0.980879
607,0.932047
608,0.926494
609,0.854622
610,0.939071
611,0.958576
612,1.068749
613,0.510862
614,0.550167
615,0.638019
616,0.690325
617,0.771074
618,0.881305
619,0.914679
620,0.893805
621,0.856887
622,0.956486
623,0.964268
624,0.972268
625,0.91933
626,0.968835
627,1.1795
628,0.906523
629,0.935096
630,0.963525
631,0.744473
632,0.564349
633,0.484409
634,0.458472
635,0.506866
636,0.493295
637,0.698729
638,0.882017
639,0.880657
640,0.929669
641,0.925558
642,0.922649
643,0.891507
644,0.624284
645,0.592685
646,0.60308
647,0.742329
648,0.783067
649,0.97722
650,0.992704
651,0.808578
652,0.626644
653,0.633654
654,0.674904
655,0.639621
656,0.690691
657,0.760072
658,0.69322
659,0.718967
660,0.8493
661,0.888464
662,0.897887
663,0.906579
664,0.813688
665,0.653696
666,0.648213
667,0.646036
668,0.652419
669,0.644978
670,0.611277
671,0.627263
672,0.564715
673,0.403978
674,0.442482
675,0.429549
676,0.42804
677,0.548852
678,0.452295
